bloque	formato	escenario	ed_14_20	ed_21_28	ed_29_40	ed_41_50	ed_50	soltero	casado	unionlib	sex_fem	sex_mas	trab_desem	trab_formal	trab_inform	est_ninguno	est_primaria	est_secun	est_tecnico	est_uni	viajeoblig	frecuencia	evas_torniquete	evas_puertas	conoce_multa	conoce_valor	reincide_no_comparendo	colarse_10	colarse_10_50	colarse_50	posibilad_percibida	satis_costo	satis_comodidad	satis_seguridad	satis_general	fin_justifica	importa_ganar	no_reglas	ingreso	perfil	perfil_1	perfil_2	perfil_3	perfil_4	perfil_5	perfil_6	multa	retencion	policia_perros	camara	aleatoria	prob	evade	i1	i2	i3	i4	ingresoprom	gasto	gasto_ingreso	colarse_10mas
1	5	12	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	8	1	0	1	0	0	1	0	0	0.2	3	1	1	1	5	3	1	0	2	0	1	0	0	0	0	214	0	0	0	1	0.1	1	0	0	0	0	2250	19.2	0.034133332	0
1	6	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	10	1	0	1	0	0	1	0	0	0.9	1	1	1	2	4	4	3	0	2	0	1	0	0	0	0	427	0	1	0	0	0.5	0	0	0	0	0	2250	24	0.042666668	0
1	6	2	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	10	1	0	1	0	0	1	0	0	0.9	1	1	1	2	4	4	3	0	2	0	1	0	0	0	0	214	2	0	1	0	0.1	1	0	0	0	0	2250	24	0.042666668	0
1	6	3	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	10	1	0	1	0	0	1	0	0	0.9	1	1	1	2	4	4	3	0	2	0	1	0	0	0	0	427	2	0	0	1	0.2	1	0	0	0	0	2250	24	0.042666668	0
1	6	4	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	10	1	0	1	0	0	1	0	0	0.9	1	1	1	2	4	4	3	0	2	0	1	0	0	0	0	427	0	1	0	0	0.5	0	0	0	0	0	2250	24	0.042666668	0
1	6	5	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	10	1	0	1	0	0	1	0	0	0.9	1	1	1	2	4	4	3	0	2	0	1	0	0	0	0	214	2	0	0	1	0.5	0	0	0	0	0	2250	24	0.042666668	0
1	6	6	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	10	1	0	1	0	0	1	0	0	0.9	1	1	1	2	4	4	3	0	2	0	1	0	0	0	0	854	2	0	0	1	0.5	0	0	0	0	0	2250	24	0.042666668	0
1	6	7	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	10	1	0	1	0	0	1	0	0	0.9	1	1	1	2	4	4	3	0	2	0	1	0	0	0	0	854	2	1	0	0	0.2	0	0	0	0	0	2250	24	0.042666668	0
1	6	8	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	10	1	0	1	0	0	1	0	0	0.9	1	1	1	2	4	4	3	0	2	0	1	0	0	0	0	854	6	0	0	1	0.5	0	0	0	0	0	2250	24	0.042666668	0
1	6	9	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	10	1	0	1	0	0	1	0	0	0.9	1	1	1	2	4	4	3	0	2	0	1	0	0	0	0	2.4	2	1	0	0	0.1	1	0	0	0	0	2250	24	0.042666668	0
1	6	10	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	10	1	0	1	0	0	1	0	0	0.9	1	1	1	2	4	4	3	0	2	0	1	0	0	0	0	2.4	6	1	0	0	0.2	1	0	0	0	0	2250	24	0.042666668	0
1	6	11	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	10	1	0	1	0	0	1	0	0	0.9	1	1	1	2	4	4	3	0	2	0	1	0	0	0	0	2.4	0	0	0	1	0.1	1	0	0	0	0	2250	24	0.042666668	0
1	6	12	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	10	1	0	1	0	0	1	0	0	0.9	1	1	1	2	4	4	3	0	2	0	1	0	0	0	0	214	0	0	0	1	0.1	0	0	0	0	0	2250	24	0.042666668	0
2	7	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	10	0	1	1	0	1	1	0	0	0.05	1	2	1	2	4	3	2	1	2	0	1	0	0	0	0	2.4	2	0	1	0	0.1	1	1	0	0	0	828	24	0.115942028	0
2	7	2	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	10	0	1	1	0	1	1	0	0	0.05	1	2	1	2	4	3	2	1	2	0	1	0	0	0	0	2.4	6	1	0	0	0.5	1	1	0	0	0	828	24	0.115942028	0
2	7	3	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	10	0	1	1	0	1	1	0	0	0.05	1	2	1	2	4	3	2	1	2	0	1	0	0	0	0	427	6	0	1	0	0.1	1	1	0	0	0	828	24	0.115942028	0
2	7	4	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	10	0	1	1	0	1	1	0	0	0.05	1	2	1	2	4	3	2	1	2	0	1	0	0	0	0	427	2	0	0	1	0.2	0	1	0	0	0	828	24	0.115942028	0
2	7	5	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	10	0	1	1	0	1	1	0	0	0.05	1	2	1	2	4	3	2	1	2	0	1	0	0	0	0	214	6	1	0	0	0.5	0	1	0	0	0	828	24	0.115942028	0
2	7	6	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	10	0	1	1	0	1	1	0	0	0.05	1	2	1	2	4	3	2	1	2	0	1	0	0	0	0	427	6	0	1	0	0.1	1	1	0	0	0	828	24	0.115942028	0
